"promptId","imageId","title","original","thumb400","thumb800"
"pr_1","pr_1","Cinematic Romantic Letter","https://notesapp-ed63a.web.app/prompts/original/pr_1.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_1.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_1.webp"
"pr_2","pr_2","Digital Painting Portrait","https://notesapp-ed63a.web.app/prompts/original/pr_2.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_2.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_2.webp"
"pr_3","pr_3","Cinematic Instagram Profile","https://notesapp-ed63a.web.app/prompts/original/pr_3.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_3.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_3.webp"
"pr_3","pr_3_alt","Cinematic Instagram Profile","https://notesapp-ed63a.web.app/prompts/original/pr_3_alt.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_3_alt.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_3_alt.webp"
"pr_4","pr_4","Cinematic Bike Portrait","https://notesapp-ed63a.web.app/prompts/original/pr_4.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_4.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_4.webp"
"pr_5","pr_5","Cinematic Name Portrait","https://notesapp-ed63a.web.app/prompts/original/pr_5.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_5.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_5.webp"
"pr_5","pr_5_alt","Cinematic Name Portrait","https://notesapp-ed63a.web.app/prompts/original/pr_5_alt.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_5_alt.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_5_alt.webp"
"pr_8","pr_8","Premium Urban Streetwear","https://notesapp-ed63a.web.app/prompts/original/pr_8.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_8.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_8.webp"
"pr_9","pr_9","Dreamy Scrapbook-Style","https://notesapp-ed63a.web.app/prompts/original/pr_9.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_9.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_9.webp"
"pr_9","pr_9_alt","Dreamy Scrapbook-Style","https://notesapp-ed63a.web.app/prompts/original/pr_9_alt.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_9_alt.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_9_alt.webp"
